transform,tau,coverage,recall_at1
bright,40.8948,0.0312,0.0312
bright,54.2017,0.0312,0.0312
bright,67.5086,0.0312,0.0312
bright,80.8155,0.0312,0.0312
bright,94.1224,0.0312,0.0312
bright,109.6996,0.0625,0.0625
bright,134.7363,0.0625,0.0625
bright,159.7731,0.0625,0.0625
bright,184.8098,0.0625,0.0625
bright,209.8466,0.0625,0.0625
bright,226.5464,0.0938,0.0625
bright,230.0460,0.0938,0.0625
bright,233.5456,0.0938,0.0625
bright,237.0452,0.0938,0.0625
bright,240.5449,0.0938,0.0625
bright,249.1683,0.1250,0.0625
bright,261.4922,0.1250,0.0625
bright,273.8161,0.1250,0.0625
bright,286.1400,0.1250,0.0625
bright,298.4639,0.1250,0.0625
bright,302.7521,0.1562,0.0625
bright,304.6966,0.1562,0.0625
bright,306.6411,0.1562,0.0625
bright,308.5856,0.1562,0.0625
bright,310.5300,0.1562,0.0625
bright,315.3573,0.1875,0.0625
bright,320.2806,0.1875,0.0625
bright,325.2039,0.1875,0.0625
bright,330.1273,0.1875,0.0625
bright,334.8143,0.2188,0.0625
bright,338.2730,0.2188,0.0625
bright,341.7316,0.2188,0.0625
bright,345.1902,0.2188,0.0625
bright,348.6488,0.2188,0.0625
bright,352.6816,0.2500,0.0625
bright,357.7583,0.2500,0.0625
bright,362.8350,0.2500,0.0625
bright,367.9116,0.2500,0.0625
bright,372.9883,0.2500,0.0625
bright,376.8502,0.2812,0.0625
bright,379.7115,0.2812,0.0625
bright,382.5728,0.2812,0.0625
bright,385.4342,0.2812,0.0625
bright,388.2955,0.2812,0.0625
bright,396.7432,0.3125,0.0625
bright,407.1340,0.3125,0.0625
bright,417.5249,0.3125,0.0625
bright,427.9157,0.3125,0.0625
bright,438.3065,0.3125,0.0625
bright,441.4121,0.3438,0.0625
bright,444.0153,0.3438,0.0625
bright,446.6184,0.3438,0.0625
bright,449.2216,0.3438,0.0625
bright,451.6453,0.3750,0.0625
bright,452.8579,0.3750,0.0625
bright,454.0704,0.3750,0.0625
bright,455.2829,0.3750,0.0625
bright,456.4954,0.3750,0.0625
bright,458.3703,0.4062,0.0625
bright,461.6361,0.4062,0.0625
bright,464.9019,0.4062,0.0625
bright,468.1677,0.4062,0.0625
bright,471.4335,0.4062,0.0625
bright,479.5964,0.4375,0.0625
bright,492.3502,0.4375,0.0625
bright,505.1040,0.4375,0.0625
bright,517.8579,0.4375,0.0625
bright,530.6117,0.4375,0.0625
bright,534.3782,0.4688,0.0625
bright,534.4681,0.4688,0.0625
bright,534.5580,0.4688,0.0625
bright,534.6479,0.4688,0.0625
bright,534.7378,0.4688,0.0625
bright,539.2300,0.5000,0.0625
bright,544.1939,0.5000,0.0625
bright,549.1579,0.5000,0.0625
bright,554.1218,0.5000,0.0625
bright,558.8667,0.5312,0.0625
bright,561.5672,0.5312,0.0625
bright,564.2677,0.5312,0.0625
bright,566.9682,0.5312,0.0625
bright,569.6687,0.5312,0.0625
bright,573.9236,0.5625,0.0625
bright,581.9783,0.5625,0.0625
bright,590.0330,0.5625,0.0625
bright,598.0876,0.5625,0.0625
bright,606.1423,0.5625,0.0625
bright,613.1932,0.5938,0.0625
bright,619.1733,0.5938,0.0625
bright,625.1535,0.5938,0.0625
bright,631.1336,0.5938,0.0625
bright,637.1138,0.5938,0.0625
bright,641.4443,0.6250,0.0625
bright,644.9893,0.6250,0.0625
bright,648.5343,0.6250,0.0625
bright,652.0793,0.6250,0.0625
bright,655.6242,0.6250,0.0625
bright,658.5711,0.6562,0.0625
bright,661.4294,0.6562,0.0625
bright,664.2876,0.6562,0.0625
bright,667.1459,0.6562,0.0625
bright,669.8217,0.6875,0.0625
bright,669.8524,0.6875,0.0625
bright,669.8831,0.6875,0.0625
bright,669.9138,0.6875,0.0625
bright,669.9445,0.6875,0.0625
bright,670.0703,0.7188,0.0625
bright,670.4694,0.7188,0.0625
bright,670.8686,0.7188,0.0625
bright,671.2678,0.7188,0.0625
bright,671.6669,0.7188,0.0625
bright,672.2986,0.7500,0.0625
bright,673.2127,0.7500,0.0625
bright,674.1268,0.7500,0.0625
bright,675.0409,0.7500,0.0625
bright,675.9549,0.7500,0.0625
bright,695.5173,0.7812,0.0625
bright,725.3361,0.7812,0.0625
bright,755.1549,0.7812,0.0625
bright,784.9738,0.7812,0.0625
bright,814.7926,0.7812,0.0625
bright,829.7755,0.8125,0.0625
bright,841.9054,0.8125,0.0625
bright,854.0352,0.8125,0.0625
bright,866.1650,0.8125,0.0625
bright,878.0471,0.8438,0.0938
bright,882.4966,0.8438,0.0938
bright,886.9462,0.8438,0.0938
bright,891.3957,0.8438,0.0938
bright,895.8453,0.8438,0.0938
bright,902.4771,0.8750,0.0938
bright,916.5910,0.8750,0.0938
bright,930.7049,0.8750,0.0938
bright,944.8188,0.8750,0.0938
bright,958.9328,0.8750,0.0938
bright,972.4486,0.9062,0.0938
bright,985.1365,0.9062,0.0938
bright,997.8243,0.9062,0.0938
bright,1010.5121,0.9062,0.0938
bright,1023.1999,0.9062,0.0938
bright,1054.9969,0.9375,0.0938
bright,1098.8629,0.9375,0.0938
bright,1142.7288,0.9375,0.0938
bright,1186.5948,0.9375,0.0938
bright,1230.4607,0.9375,0.0938
bright,1295.0010,0.9688,0.0938
bright,1364.5031,0.9688,0.0938
bright,1434.0052,0.9688,0.0938
bright,1503.5073,0.9688,0.0938
bright,1573.0094,1.0000,0.0938
flip,58.6230,0.0312,0.0312
flip,59.4538,0.0312,0.0312
flip,60.2846,0.0312,0.0312
flip,61.1154,0.0312,0.0312
flip,61.9462,0.0312,0.0312
flip,63.3445,0.0625,0.0625
flip,67.1077,0.0625,0.0625
flip,70.8708,0.0625,0.0625
flip,74.6340,0.0625,0.0625
flip,78.3972,0.0625,0.0625
flip,80.9842,0.0938,0.0938
flip,81.7092,0.0938,0.0938
flip,82.4341,0.0938,0.0938
flip,83.1591,0.0938,0.0938
flip,83.8840,0.0938,0.0938
flip,84.2070,0.1250,0.1250
flip,84.2395,0.1250,0.1250
flip,84.2721,0.1250,0.1250
flip,84.3046,0.1250,0.1250
flip,84.3372,0.1250,0.1250
flip,84.4269,0.1562,0.1562
flip,84.5334,0.1562,0.1562
flip,84.6398,0.1562,0.1562
flip,84.7462,0.1562,0.1562
flip,84.8526,0.1562,0.1562
flip,85.6389,0.1875,0.1875
flip,86.4479,0.1875,0.1875
flip,87.2568,0.1875,0.1875
flip,88.0658,0.1875,0.1875
flip,88.7463,0.2188,0.2188
flip,88.7593,0.2188,0.2188
flip,88.7722,0.2188,0.2188
flip,88.7851,0.2188,0.2188
flip,88.7981,0.2188,0.2188
flip,88.9510,0.2500,0.2500
flip,89.3585,0.2500,0.2500
flip,89.7660,0.2500,0.2500
flip,90.1735,0.2500,0.2500
flip,90.5810,0.2500,0.2500
flip,90.7678,0.2812,0.2812
flip,90.7729,0.2812,0.2812
flip,90.7781,0.2812,0.2812
flip,90.7832,0.2812,0.2812
flip,90.7883,0.2812,0.2812
flip,90.8790,0.3125,0.3125
flip,90.9994,0.3125,0.3125
flip,91.1198,0.3125,0.3125
flip,91.2402,0.3125,0.3125
flip,91.3606,0.3125,0.3125
flip,91.4340,0.3438,0.3438
flip,91.5041,0.3438,0.3438
flip,91.5742,0.3438,0.3438
flip,91.6443,0.3438,0.3438
flip,91.9666,0.3750,0.3750
flip,93.9912,0.3750,0.3750
flip,96.0157,0.3750,0.3750
flip,98.0403,0.3750,0.3750
flip,100.0648,0.3750,0.3750
flip,101.7959,0.4062,0.4062
flip,102.9109,0.4062,0.4062
flip,104.0259,0.4062,0.4062
flip,105.1408,0.4062,0.4062
flip,106.2558,0.4062,0.4062
flip,107.5742,0.4375,0.4375
flip,109.0833,0.4375,0.4375
flip,110.5924,0.4375,0.4375
flip,112.1015,0.4375,0.4375
flip,113.6106,0.4375,0.4375
flip,114.1699,0.4688,0.4688
flip,114.3406,0.4688,0.4688
flip,114.5113,0.4688,0.4688
flip,114.6819,0.4688,0.4688
flip,114.8526,0.4688,0.4688
flip,115.4786,0.5000,0.5000
flip,116.1533,0.5000,0.5000
flip,116.8280,0.5000,0.5000
flip,117.5027,0.5000,0.5000
flip,118.1343,0.5312,0.5312
flip,118.3638,0.5312,0.5312
flip,118.5932,0.5312,0.5312
flip,118.8227,0.5312,0.5312
flip,119.0521,0.5312,0.5312
flip,120.1482,0.5625,0.5625
flip,123.3627,0.5625,0.5625
flip,126.5772,0.5625,0.5625
flip,129.7917,0.5625,0.5625
flip,133.0061,0.5625,0.5625
flip,135.3906,0.5938,0.5938
flip,136.8898,0.5938,0.5938
flip,138.3889,0.5938,0.5938
flip,139.8881,0.5938,0.5938
flip,141.3872,0.5938,0.5938
flip,141.9098,0.6250,0.6250
flip,141.9674,0.6250,0.6250
flip,142.0250,0.6250,0.6250
flip,142.0826,0.6250,0.6250
flip,142.1402,0.6250,0.6250
flip,145.0889,0.6562,0.6562
flip,148.4659,0.6562,0.6562
flip,151.8429,0.6562,0.6562
flip,155.2199,0.6562,0.6562
flip,158.4178,0.6875,0.6875
flip,159.0184,0.6875,0.6875
flip,159.6190,0.6875,0.6875
flip,160.2196,0.6875,0.6875
flip,160.8202,0.6875,0.6875
flip,161.3087,0.7188,0.7188
flip,161.4747,0.7188,0.7188
flip,161.6407,0.7188,0.7188
flip,161.8067,0.7188,0.7188
flip,161.9728,0.7188,0.7188
flip,164.8824,0.7500,0.7500
flip,171.1235,0.7500,0.7500
flip,177.3647,0.7500,0.7500
flip,183.6058,0.7500,0.7500
flip,189.8469,0.7500,0.7500
flip,194.2498,0.7812,0.7812
flip,197.6416,0.7812,0.7812
flip,201.0334,0.7812,0.7812
flip,204.4252,0.7812,0.7812
flip,207.8170,0.7812,0.7812
flip,220.9742,0.8125,0.8125
flip,236.0094,0.8125,0.8125
flip,251.0445,0.8125,0.8125
flip,266.0797,0.8125,0.8125
flip,280.9343,0.8438,0.8125
flip,290.3709,0.8438,0.8125
flip,299.8076,0.8438,0.8125
flip,309.2442,0.8438,0.8125
flip,318.6809,0.8438,0.8125
flip,331.1843,0.8750,0.8125
flip,354.2021,0.8750,0.8125
flip,377.2199,0.8750,0.8125
flip,400.2377,0.8750,0.8125
flip,423.2555,0.8750,0.8125
flip,441.1654,0.9062,0.8125
flip,452.0028,0.9062,0.8125
flip,462.8402,0.9062,0.8125
flip,473.6776,0.9062,0.8125
flip,484.5150,0.9062,0.8125
flip,492.7457,0.9375,0.8125
flip,499.3301,0.9375,0.8125
flip,505.9144,0.9375,0.8125
flip,512.4988,0.9375,0.8125
flip,519.0832,0.9375,0.8125
flip,542.7533,0.9688,0.8125
flip,570.5241,0.9688,0.8125
flip,598.2948,0.9688,0.8125
flip,626.0656,0.9688,0.8125
flip,653.8363,1.0000,0.8125
rot90,603.1569,0.0312,0.0000
rot90,607.0583,0.0312,0.0000
rot90,610.9597,0.0312,0.0000
rot90,614.8610,0.0312,0.0000
rot90,618.7624,0.0312,0.0000
rot90,623.2189,0.0625,0.0000
rot90,629.9885,0.0625,0.0000
rot90,636.7581,0.0625,0.0000
rot90,643.5277,0.0625,0.0000
rot90,650.2973,0.0625,0.0000
rot90,685.3530,0.0938,0.0000
rot90,765.1950,0.0938,0.0000
rot90,845.0370,0.0938,0.0000
rot90,924.8790,0.0938,0.0000
rot90,1004.7210,0.0938,0.0000
rot90,1040.6771,0.1250,0.0000
rot90,1044.9378,0.1250,0.0000
rot90,1049.1984,0.1250,0.0000
rot90,1053.4591,0.1250,0.0000
rot90,1057.7198,0.1250,0.0000
rot90,1080.2029,0.1562,0.0000
rot90,1108.0010,0.1562,0.0000
rot90,1135.7990,0.1562,0.0000
rot90,1163.5970,0.1562,0.0000
rot90,1191.3950,0.1562,0.0000
rot90,1233.8579,0.1875,0.0312
rot90,1276.8096,0.1875,0.0312
rot90,1319.7613,0.1875,0.0312
rot90,1362.7129,0.1875,0.0312
rot90,1400.7909,0.2188,0.0312
rot90,1413.5255,0.2188,0.0312
rot90,1426.2602,0.2188,0.0312
rot90,1438.9948,0.2188,0.0312
rot90,1451.7294,0.2188,0.0312
rot90,1465.4573,0.2500,0.0312
rot90,1480.9911,0.2500,0.0312
rot90,1496.5249,0.2500,0.0312
rot90,1512.0586,0.2500,0.0312
rot90,1527.5924,0.2500,0.0312
rot90,1546.1277,0.2812,0.0312
rot90,1567.1349,0.2812,0.0312
rot90,1588.1421,0.2812,0.0312
rot90,1609.1493,0.2812,0.0312
rot90,1630.1564,0.2812,0.0312
rot90,1636.7938,0.3125,0.0312
rot90,1638.4329,0.3125,0.0312
rot90,1640.0721,0.3125,0.0312
rot90,1641.7113,0.3125,0.0312
rot90,1643.3504,0.3125,0.0312
rot90,1646.0405,0.3438,0.0312
rot90,1648.8031,0.3438,0.0312
rot90,1651.5656,0.3438,0.0312
rot90,1654.3282,0.3438,0.0312
rot90,1656.9807,0.3750,0.0312
rot90,1658.8903,0.3750,0.0312
rot90,1660.7999,0.3750,0.0312
rot90,1662.7096,0.3750,0.0312
rot90,1664.6192,0.3750,0.0312
rot90,1670.6612,0.4062,0.0312
rot90,1685.3810,0.4062,0.0312
rot90,1700.1008,0.4062,0.0312
rot90,1714.8206,0.4062,0.0312
rot90,1729.5405,0.4062,0.0312
rot90,1746.7785,0.4375,0.0312
rot90,1766.3775,0.4375,0.0312
rot90,1785.9764,0.4375,0.0312
rot90,1805.5753,0.4375,0.0312
rot90,1825.1742,0.4375,0.0312
rot90,1831.0737,0.4688,0.0312
rot90,1831.3689,0.4688,0.0312
rot90,1831.6640,0.4688,0.0312
rot90,1831.9591,0.4688,0.0312
rot90,1832.2543,0.4688,0.0312
rot90,1851.6121,0.5000,0.0312
rot90,1873.0123,0.5000,0.0312
rot90,1894.4126,0.5000,0.0312
rot90,1915.8128,0.5000,0.0312
rot90,1936.5850,0.5312,0.0312
rot90,1951.4947,0.5312,0.0312
rot90,1966.4044,0.5312,0.0312
rot90,1981.3141,0.5312,0.0312
rot90,1996.2238,0.5312,0.0312
rot90,2007.7123,0.5625,0.0312
rot90,2010.8377,0.5625,0.0312
rot90,2013.9632,0.5625,0.0312
rot90,2017.0886,0.5625,0.0312
rot90,2020.2140,0.5625,0.0312
rot90,2022.1204,0.5938,0.0312
rot90,2022.7265,0.5938,0.0312
rot90,2023.3326,0.5938,0.0312
rot90,2023.9386,0.5938,0.0312
rot90,2024.5447,0.5938,0.0312
rot90,2027.8605,0.6250,0.0312
rot90,2032.4665,0.6250,0.0312
rot90,2037.0726,0.6250,0.0312
rot90,2041.6786,0.6250,0.0312
rot90,2046.2847,0.6250,0.0312
rot90,2060.7492,0.6562,0.0312
rot90,2076.6742,0.6562,0.0312
rot90,2092.5993,0.6562,0.0312
rot90,2108.5243,0.6562,0.0312
rot90,2124.4283,0.6875,0.0312
rot90,2140.0280,0.6875,0.0312
rot90,2155.6276,0.6875,0.0312
rot90,2171.2273,0.6875,0.0312
rot90,2186.8269,0.6875,0.0312
rot90,2200.1477,0.7188,0.0312
rot90,2206.9166,0.7188,0.0312
rot90,2213.6855,0.7188,0.0312
rot90,2220.4544,0.7188,0.0312
rot90,2227.2233,0.7188,0.0312
rot90,2235.6917,0.7500,0.0312
rot90,2246.2237,0.7500,0.0312
rot90,2256.7557,0.7500,0.0312
rot90,2267.2877,0.7500,0.0312
rot90,2277.8197,0.7500,0.0312
rot90,2285.8518,0.7812,0.0312
rot90,2292.5090,0.7812,0.0312
rot90,2299.1661,0.7812,0.0312
rot90,2305.8233,0.7812,0.0312
rot90,2312.4805,0.7812,0.0312
rot90,2325.7001,0.8125,0.0312
rot90,2340.1817,0.8125,0.0312
rot90,2354.6633,0.8125,0.0312
rot90,2369.1449,0.8125,0.0312
rot90,2383.3011,0.8438,0.0312
rot90,2387.6932,0.8438,0.0312
rot90,2392.0853,0.8438,0.0312
rot90,2396.4774,0.8438,0.0312
rot90,2400.8695,0.8438,0.0312
rot90,2405.0683,0.8750,0.0312
rot90,2408.6044,0.8750,0.0312
rot90,2412.1406,0.8750,0.0312
rot90,2415.6767,0.8750,0.0312
rot90,2419.2129,0.8750,0.0312
rot90,2440.9644,0.9062,0.0312
rot90,2487.9373,0.9062,0.0312
rot90,2534.9102,0.9062,0.0312
rot90,2581.8831,0.9062,0.0312
rot90,2628.8560,0.9062,0.0312
rot90,2696.8167,0.9375,0.0312
rot90,2778.0329,0.9375,0.0312
rot90,2859.2490,0.9375,0.0312
rot90,2940.4652,0.9375,0.0312
rot90,3021.6814,0.9375,0.0312
rot90,3040.1949,0.9688,0.0312
rot90,3043.6597,0.9688,0.0312
rot90,3047.1245,0.9688,0.0312
rot90,3050.5894,0.9688,0.0312
rot90,3054.0542,1.0000,0.0312
